Text,Value
i am in love with application	9
it crashes everytime i open it	1
worst applcation ever	0
travelling have not been that easy	9
it takes alot of storage	4
good but need modifications	5
it consumes the mobile battery	4
disappointing.,0
So there is no way for me to plug it in here in the US unless I go by a converter.,2
Good case; Excellent value.,8
Great for the travelling.,9
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,4
The mic is great.,8
I have to jiggle the plug to get it to line up right to get decent volume.,4
If you have several dozen or several hundred contacts; then imagine the fun of sending each of them one by one.,6
If you are Razr owner...you must have this!,7
Needless to say; I wasted my money.,1
What a waste of money and time!.,0
And the sound quality is great.,7
He was very impressed when going from the original battery to the extended battery.,7
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,4
Very good quality though,8
"The design is very odd; as the ear ""clip"" is not very comfortable at all.",3
Highly recommend for any one who has a blue tooth phone.,9
I advise EVERYONE DO NOT BE FOOLED!,2
So Far So Good!.,7
Works great!.,8
It clicks into place in a way that makes you wonder how long that mechanism would last.,4
I went on Motorola's website and followed all directions; but could not get it to pair again.,4
I bought this to use with my Kindle Fire and absolutely loved it!,9
The commercials are the most misleading.,5
I have yet to run this new battery below two bars and that's three days without charging.,5
I bought it for my mother and she had a problem with the battery.,2
Great Pocket PC / phone combination.,6
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,10
I didn't think that the instructions provided were helpful to me.,5
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,4
Doesn't hold charge.,3
This is a simple little phone to use; but the breakage is unacceptible.,3
This product is ideal for people like me whose ears are very sensitive.,9
It is unusable in a moving car at freeway speed.,3
I have two more years left in this contract and I hate this phone.,1
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,9
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,3
It has kept up very well.,8
Poor Talk Time Performance.,3
The case is great and works fine with the 680.,8
worthless product.,0
It has a great camera thats 2MP; and the pics are nice and clear with great picture quality.,7
I was not impressed by this product.,4
Nice headset priced right.,7
I only hear garbage for audio.,2
Excellent bluetooth headset.,8
It has all the features I want,10
Who in their right mind is gonna buy this battery?.,1
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
This case seems well made.,8
Disappointed with battery.,3
Not loud enough and doesn't turn on like it should.,4
good protection and does not make phone too bulky.,9
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,8
This phone is pretty sturdy and I've never had any large problems with it.,10
I love this thing!,8
Everything about it is fine and reasonable for the price i.e.,9
VERY DISAPPOINTED.,1
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,9
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,9
The buttons for on and off are bad.,5
Essentially you can forget Microsoft's tech support.,5
