SentimentText	Category
 travelling have not been that easy	9
 my favourite app	10
 fascinating	10
 i love it  my favourite 10
 uninstalling it so bad 0
 perfection 10
 i open it frequently obssessed with it 10
 the app crashes all the time	1
the places are wonderful	9
i open it frequently i fell in love with it 9
it crashes all the time	1
takes alot of space	4
very slow	1
uninstalling it right now	0
it makes travelling easier	10
very interesting app	9
Wow... Loved this place.	10
Crust is not good.	0
Not tasty and the texture was just nasty.	1
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	5
The selection on the menu was great and so were the prices.	8
Now I am getting angry and I want my damn pho.	0
Honeslty it didn't taste THAT fresh.)	1
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	2
The fries were great too.	8
A great touch.	7
Service was very prompt.	9
Would not go back.	2
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	3
I tried the Cape Cod ravoli; chicken;with cranberry...mmmm!	6
I was disgusted because I was pretty sure that was human hair.	2
I was shocked because no signs indicate cash only.	4
Highly recommended.	9
Waitress was a little slow in service.	2
This place is not worth your time; let alone Vegas.	1
did not like at all.	3
The Burrittos Blah!	0
The food; amazing.	10
Service is also cute.	10
I could care less... The interior is just beautiful.	9
So they performed.	8
That's right....the red velvet cake.....ohhh this stuff is so good.	10
This hole in the wall has great Mexican street tacos; and friendly staff.	9
Took an hour to get our food only 4 tables in restaurant my food was Luke warm; Our sever was running around like he was totally overwhelmed.	0
The worst was the salmon sashimi.	1
Also there are combos like a burger; fries; and beer for 23 which is a decent deal.	7
This was like the final blow!	2
I found this place by accident and I could not be happier.	8
seems like a good quick place to grab a bite of some familiar pub food; but do yourself a favor and look elsewhere.	1
Overall; I like this application a lot.	10
The only redeeming quality of the restaurant was that it was very inexpensive.	8
Ample portions and good prices.	9
Poor service; the waiter made me feel like I was stupid every time he came to the table.	1
My first visit to Hiro was a delight!	9
Service sucks.	2
The shrimp tender and moist.	8
There is not a deal good enough that would drag me into that establishment again.	2
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	3
On a positive note; our server was very attentive and provided great service.	8
Frozen pucks of disgust; with some of the worst people behind the register.	4
The only thing I did like was the prime rib and dessert section.	5
